batter,phase,balls_faced,runs_scored,boundaries,sixes,dots,strike_rate,boundary_pct,dot_pct
VR Iyer,middle,523,729,51,33,147,139.4,16.1,28.1
VR Iyer,powerplay,457,596,70,25,213,130.4,20.8,46.6
WG Jacks,middle,169,244,17,15,54,144.4,18.9,32.0
WG Jacks,powerplay,128,190,20,10,51,148.4,23.4,39.8
WP Saha,middle,214,213,15,0,59,99.5,7.0,27.6
WP Saha,powerplay,559,713,95,23,249,127.5,21.1,44.5
Washington Sundar,death,166,237,20,8,46,142.8,16.9,27.7
Washington Sundar,middle,152,186,18,4,47,122.4,14.5,30.9
YBK Jaiswal,middle,566,789,67,30,150,139.4,17.1,26.5
YBK Jaiswal,powerplay,958,1555,217,67,420,162.3,29.6,43.8
