season,player,sr,economy,bat_z,bowl_z,combined_z,balls_faced,balls_bowled,runs,runs_conceded,matches,bowl_per_match
2009,JP Duminy,114.46153846153845,5.485714285714286,-0.30556502263646734,2.012581278389126,1.7070162557526585,325,105,372,96,12,10.086206896551724
2009,TM Dilshan,122.58064516129032,6.1875,0.14651027175144998,1.335067544892499,1.4815778166439488,341,96,418,99,13,7.304347826086956
2009,YK Pathan,132.78688524590163,7.085714285714285,0.7147980355993411,0.4679189241576306,1.1827169597569718,183,210,243,248,13,10.958762886597938
2009,AM Nayar,126.9736842105263,7.0,0.3911165437076575,0.5506686931343175,0.941785236841975,152,72,193,84,11,6.65
2009,DR Smith,162.87878787878788,9.142857142857142,2.390327899232042,-1.5180755312828635,0.8722523679491783,132,84,215,128,8,7.735849056603773
2009,TL Suman,124.73684210526316,7.120879120879121,0.26656822938792757,0.43397030098770684,0.7005385303756344,190,91,237,108,12,7.583333333333333
2009,JA Morkel,138.57142857142856,8.081632653061224,1.0368838540881125,-0.49355458204768765,0.5433292720404248,70,245,97,330,10,25.25862068965517
2009,RA Jadeja,110.90225563909775,6.685714285714286,-0.5037473953122588,0.854084512715504,0.35033711740324525,266,140,295,156,13,21.6734693877551
2009,Yuvraj Singh,115.64625850340136,7.1,-0.23959930972019222,0.4541272959948494,0.2145279862746572,294,120,340,142,14,8.51578947368421
2009,KP Pietersen,109.41176470588236,6.769230769230769,-0.5867385607610955,0.7734565326869371,0.1867179719258416,85,78,93,88,6,10.615384615384615
2009,RG Sharma,114.92063492063491,7.086956521739131,-0.28000233765477783,0.46671965214347505,0.18671731448869722,315,138,362,163,16,7.875
2009,RE van der Merwe,124.48979591836735,7.735294117647059,0.2528125932325669,-0.1591945211264801,0.09361807210608677,98,204,122,263,8,25.5
2009,IK Pathan,124.0506329113924,7.9072847682119205,0.22835981129430863,-0.32523669813105865,-0.09687688683675003,158,302,196,398,12,25.435897435897434
2009,CH Gayle,119.58041958041959,7.7522123893805315,-0.020543557303875585,-0.17552765702982634,-0.19607121433370192,143,113,171,146,7,12.842105263157896
2009,JH Kallis,108.73493975903614,7.812949640287769,-0.6244244600120494,-0.23416424763977808,-0.8585887076518275,332,278,361,362,15,18.431578947368422
2009,BJ Hodge,117.74193548387098,8.35,-0.1229111292437934,-0.7526401682485065,-0.8755512974923,310,120,365,167,12,7.153846153846154
2009,LR Shukla,97.6470588235294,7.285714285714286,-1.2418023592593364,0.27483612987869344,-0.9669662293806429,85,84,83,102,6,8.777777777777779
2009,DJ Bravo,107.38916256157636,7.949999999999999,-0.6993579034585766,-0.3664745796906323,-1.065832483149209,203,200,218,265,10,25.75
2009,Y Venugopal Rao,108.77192982456141,8.2,-0.6223648375215262,-0.6078280725393035,-1.2301929100608295,114,90,124,123,12,7.909090909090909
2009,SK Warne,93.10344827586206,7.38,-1.4947925159207256,0.18381138400433744,-1.3109811319163882,116,300,108,369,10,36.0
2009,ST Jayasuriya,115.10416666666667,8.68421052631579,-0.26978321242522857,-1.0752916797409409,-1.3450748921661695,192,114,221,165,12,9.23076923076923
2009,AB Agarkar,115.78947368421053,9.451612903225806,-0.231625027890997,-1.8161526560913608,-2.047777683982358,57,186,66,293,5,37.2
2009,A Flintoff,116.98113207547169,9.636363636363637,-0.165272984746191,-1.9945135950880335,-2.1597865798342246,53,66,62,106,3,22.0
2009,SC Ganguly,91.30434782608695,8.166666666666666,-1.5949671897540396,-0.5756476068261475,-2.170614796580187,207,72,189,98,11,6.487179487179487
2009,JDP Oram,94.6236559139785,8.872340425531915,-1.4101467117766258,-1.2569149128812624,-2.6670616246578884,93,94,88,139,8,11.75
2010,KA Pollard,185.71428571428572,7.426008968609866,1.9961662082051312,0.7405082397648042,2.7366744479699356,147,223,273,276,14,12.075
2010,Harbhajan Singh,166.66666666666669,7.173913043478261,1.2596232743195914,0.9966933011885458,2.256316575508137,63,322,105,385,7,35.16923076923077
2010,YK Pathan,165.67164179104478,7.470588235294118,1.2211471509076595,0.695205872549751,1.9163530234574104,201,204,333,254,14,10.958762886597938
2010,PD Collingwood,130.12820512820514,6.808988764044943,-0.15326437289353675,1.367536855652325,1.2142724827587883,156,89,203,101,7,12.714285714285714
2010,Yuvraj Singh,128.14070351758795,6.739130434782608,-0.23011808693131328,1.4385283259178139,1.2084102389865006,199,138,255,155,14,8.51578947368421
2010,KP Pietersen,150.31847133757964,7.7,0.6274630173700592,0.46207292126613136,1.0895359386361905,157,60,236,77,7,10.615384615384615
2010,SK Raina,142.85714285714286,7.594405594405595,0.33894460696266543,0.5693801269224069,0.9083247338850724,364,143,520,181,16,6.904761904761905
2010,SR Watson,162.28070175438597,8.409090909090908,1.090024572438052,-0.25851983724687355,0.8315047351911784,114,132,185,185,5,18.07079646017699
2010,A Symonds,125.80645161290323,7.264150943396227,-0.320380116112294,0.9049916922824708,0.5846115761701768,341,318,429,385,16,19.25
2010,JA Morkel,151.14503816793894,8.601398601398602,0.6594251201800378,-0.4539468674155893,0.20547825276444853,131,286,198,410,11,25.25862068965517
2010,RG Sharma,133.7748344370861,8.368421052631579,-0.012254672770837156,-0.21719029306765322,-0.2294449658384904,302,114,404,159,16,7.875
2010,CH Gayle,158.69565217391303,9.5625,0.9513960682914021,-1.4306378659178696,-0.47924179762646746,184,96,292,153,9,12.842105263157896
2010,AD Mathews,126.63043478260869,8.415929203539823,-0.28851791959471784,-0.2654690526398412,-0.5539869722345591,184,226,233,317,10,19.68421052631579
2010,AC Voges,126.57342657342659,8.444444444444445,-0.29072234176116146,-0.2944468266314262,-0.5851691683925877,143,54,181,76,7,7.714285714285714
2010,PP Chawla,103.33333333333334,7.571428571428571,-1.1893819808498305,0.592729850007501,-0.5966521308423295,60,294,62,371,6,36.951219512195124
2010,IK Pathan,148.38709677419354,9.388489208633093,0.5527796522842733,-1.2538045226123289,-0.7010248703280556,186,278,276,435,13,25.435897435897434
2010,A Mishra,76.47058823529412,6.934579439252336,-2.228124147903115,1.2399090297544701,-0.9882151181486447,51,321,39,371,7,48.8421052631579
2010,JH Kallis,115.78947368421053,8.466472303206997,-0.7077216675062601,-0.31683198952992186,-1.024553657036182,494,343,572,484,16,18.431578947368422
2010,DJ Bravo,115.09433962264151,8.828025477707007,-0.7346014617667306,-0.6842497578610832,-1.4188512196278138,53,157,61,231,8,25.75
2010,R McLaren,95.65217391304348,8.22439024390244,-1.48640092484063,-0.07082322441343684,-1.5572241492540668,69,205,66,281,7,28.636363636363637
2010,AB McDonald,125.0,9.857142857142858,-0.3515643935550288,-1.730059994283508,-2.081624387838537,52,84,65,138,3,28.0
2010,RS Bopara,115.88785046728971,10.153846153846153,-0.7039175844734039,-2.0315759836866665,-2.7354935681600705,214,78,248,132,9,11.647058823529411
2011,CH Gayle,183.13253012048193,7.2110091743119265,2.9061082016267927,0.7356620441208268,3.6417702457476198,332,218,608,262,12,12.842105263157896
2011,YK Pathan,140.7960199004975,6.256410256410256,0.8502156137669129,1.7571202013354223,2.6073358151023354,201,234,283,244,11,10.958762886597938
2011,Harbhajan Singh,145.07042253521126,7.037735849056604,1.057783801333035,0.9210712753598445,1.9788550766928794,71,318,103,373,8,35.16923076923077
2011,Yuvraj Singh,131.4176245210728,6.6171428571428565,0.3947937226759175,1.3711222175942492,1.7659159402701667,261,175,343,193,13,8.51578947368421
2011,SR Watson,130.43478260869566,6.857142857142858,0.3470661846196416,1.114312836047521,1.4613790206671626,253,217,330,248,11,18.07079646017699
2011,JD Ryder,148.2233502538071,7.760869565217391,1.2108923285365678,0.14728993193135212,1.35818226046792,197,92,292,119,13,7.076923076923077
2011,J Botha,116.16161616161615,6.722222222222222,-0.34604944894029144,1.2586831894302715,0.91263374048998,198,216,230,242,9,25.545454545454547
2011,SK Raina,134.76923076923077,7.6,0.5575502278108216,0.31942665506955664,0.8769768828803783,325,165,438,209,16,6.904761904761905
2011,BJ Hodge,120.76271186440677,7.0,-0.12261680174642808,0.9614501089363743,0.8388333071899462,236,66,285,77,14,7.153846153846154
2011,RA Jadeja,124.12280701754386,7.309523809523809,0.04055193096072897,0.6302475335288891,0.670799464489618,228,252,283,307,12,21.6734693877551
2011,PC Valthaty,136.98224852071007,7.903448275862068,0.6650160243166703,-0.005274861828603881,0.6597411624880664,338,145,463,191,14,10.357142857142858
2011,JH Kallis,112.16931216931216,7.083333333333333,-0.5399187155287031,0.8722801847882055,0.3323614692595024,378,144,424,170,14,18.431578947368422
2011,DT Christian,119.49685534591194,7.789090909090909,-0.1840877406628617,0.11709199082061972,-0.06699574984224199,159,275,190,357,13,21.85
2011,JA Morkel,135.29411764705884,8.63468634686347,0.5830391270135306,-0.7877281817339861,-0.2046890547204555,102,271,138,390,12,25.25862068965517
2011,V Kohli,121.08695652173913,8.076923076923077,-0.10687123877491762,-0.19089968005535007,-0.2977709188302677,460,104,557,140,16,6.5
2011,AL Menaria,118.42105263157893,8.066666666666666,-0.2363295247613713,-0.17992492016019082,-0.41625444492156216,152,90,180,121,10,9.0
2011,IK Pathan,108.69565217391303,7.673913043478261,-0.7086022418793331,0.2403368093033542,-0.46826543257597886,138,276,150,353,12,25.435897435897434
2011,JP Duminy,117.81609195402298,8.277777777777779,-0.26570686754355655,-0.4058220613355538,-0.6715289288791104,174,108,205,149,10,10.086206896551724
2011,JR Hopes,124.0506329113924,8.65625,0.03704710240728418,-0.810802133508488,-0.7737550311012038,158,192,196,277,8,18.94736842105263
2011,JEC Franklin,137.17948717948718,9.428571428571429,0.6745940810462463,-1.6372162519531275,-0.9626221709068812,78,63,107,99,5,9.5625
2011,TM Dilshan,125.55555555555556,9.0,0.11012727111653844,-1.1786280706196859,-1.0685007995031475,180,72,226,108,10,7.304347826086956
2011,KA Pollard,109.77443609022556,8.568093385214008,-0.6562156883838948,-0.7164711096649722,-1.3726867980488668,133,257,146,367,12,12.075
2011,RV Gomez,92.0,8.333333333333334,-1.5193555934305445,-0.46526867743433303,-1.9846242708648776,50,90,46,125,8,11.25
2011,PP Chawla,87.27272727272727,8.225806451612902,-1.7489154912655944,-0.3502107107915323,-2.0991262020571266,55,248,48,340,6,36.951219512195124
2011,AM Nayar,91.04477611940298,9.344262295081968,-1.565741979215813,-1.5470021834940908,-3.1127441627099035,67,61,61,95,9,6.65
2011,R McLaren,93.75,9.927272727272728,-1.434374285097377,-2.170846135686587,-3.605220420783964,96,110,90,182,4,28.636363636363637
2012,DR Smith,160.20408163265304,7.443037974683545,1.9796945003301494,0.46302083861906757,2.442715338949217,98,79,157,98,6,7.735849056603773
2012,SR Watson,151.78571428571428,7.1223021582733805,1.5155100507356647,0.9020194073496829,2.4175294580853475,168,139,255,165,7,18.07079646017699
2012,JA Morkel,157.35294117647058,7.89261744966443,1.8224840806813938,-0.1523290410927614,1.6701550395886324,68,298,107,392,12,25.25862068965517
2012,Harbhajan Singh,135.0,7.203703703703703,0.5899543906351461,0.7906032196088261,1.3805576102439723,80,324,108,389,11,35.16923076923077
2012,Shakib Al Hasan,122.97297297297298,6.766666666666667,-0.07320969935061908,1.38878597290687,1.3155762735562508,74,180,91,203,7,26.526315789473685
2012,SK Raina,135.69230769230768,7.571428571428571,0.6281278810353632,0.2872896438919484,0.9154175249273115,325,84,441,106,18,6.904761904761905
2012,SL Malinga,103.77358490566037,6.377245508982036,-1.1318540914627284,1.9217957651102773,0.7899416736475489,53,334,55,355,6,55.666666666666664
2012,IK Pathan,139.68253968253967,7.95,0.8481472225307984,-0.23086987182808935,0.6172773507027091,126,360,176,477,12,25.435897435897434
2012,MJ Clarke,104.25531914893618,6.545454545454546,-1.1052915128355185,1.6915641461863877,0.5862726333508692,94,66,98,72,6,11.0
2012,STR Binny,134.32835820895522,7.8,0.5529204074110542,-0.025561384467319422,0.5273590229437348,67,60,90,78,6,9.073170731707316
2012,Azhar Mahmood,130.98591549295776,7.6976744186046515,0.36861983361979944,0.11449401776328226,0.4831138513830817,142,258,186,331,10,26.1
2012,KA Pollard,138.36477987421384,8.0,0.7754866238521376,-0.2993060342816789,0.4761805895704587,159,264,220,352,11,12.075
2012,DJ Bravo,140.53030303030303,8.184971098265896,0.8948924578894113,-0.5524802768845544,0.34241218100485693,264,346,371,472,16,25.75
2012,PP Chawla,120.45454545454545,7.456140350877193,-0.21207449858155122,0.4450873117047371,0.23301281312318586,88,342,106,425,12,36.951219512195124
2012,AD Mathews,117.59259259259258,7.5,-0.36988110872835567,0.3850555902542192,0.015174481525863537,108,156,127,195,8,19.68421052631579
2012,RA Jadeja,126.49006622516556,7.942857142857143,0.12072101525940045,-0.22109327719186225,-0.1003722619324618,151,210,191,278,14,21.6734693877551
2012,J Botha,107.40740740740742,7.414634146341464,-0.9314869860155093,0.5018978188335184,-0.4295891671819909,54,246,58,304,7,25.545454545454547
2012,JH Kallis,106.51041666666667,7.54601226993865,-0.9809465945265944,0.32207752664662126,-0.6588690678799731,384,326,409,410,17,18.431578947368422
2012,JP Duminy,128.42105263157896,8.666666666666666,0.22719461344009456,-1.2117882003295422,-0.9845935868894475,190,72,244,104,9,10.086206896551724
2012,MN Samuels,100.8130081300813,7.569767441860465,-1.2950987735273707,0.2895632705515356,-1.005535502975835,123,172,124,217,8,21.5
2012,YK Pathan,114.79289940828403,8.363636363636363,-0.5242547522430057,-0.7970235793986953,-1.321278331641701,169,132,194,184,16,10.958762886597938
2012,DT Christian,122.88135593220339,8.88888888888889,-0.07826141589973984,-1.5159489223454983,-1.5942103382452382,118,162,145,240,7,21.85
2012,R Vinay Kumar,109.6774193548387,8.688427299703264,-0.8063196937169068,-1.2415724846812535,-2.0478921783981603,62,337,68,488,7,48.142857142857146
2012,JEC Franklin,98.65470852017937,8.4,-1.4141063049398161,-0.8467953339103979,-2.260901638850214,223,90,220,126,11,9.5625
2012,SC Ganguly,98.8929889298893,9.540983606557377,-1.4009676455926954,-2.408486123015267,-3.8094537686079626,271,61,268,97,15,6.487179487179487
2013,Harbhajan Singh,146.8354430379747,6.625592417061612,0.9442942564722451,1.0799272137291902,2.0242214702014354,79,422,116,466,13,35.16923076923077
2013,STR Binny,147.23618090452263,6.791666666666667,0.9602009852432589,0.9120429124462591,1.872243897689518,199,144,293,163,16,9.073170731707316
2013,RA Jadeja,148.88888888888889,7.523076923076923,1.0258029156808928,0.17266097851838985,1.1984638941992827,135,260,201,326,14,21.6734693877551
2013,Yuvraj Singh,125.26315789473684,6.909090909090909,0.08801258860691319,0.7933388572423189,0.8813514458492321,190,132,238,152,13,8.51578947368421
2013,SR Watson,142.89473684210526,7.656000000000001,0.7878734391336578,0.038289166231550396,0.8261626053652082,380,250,543,319,16,18.07079646017699
2013,DJG Sammy,131.8181818181818,7.511111111111111,0.34820508934548583,0.18475720647630997,0.5329622958217958,132,135,174,169,9,12.222222222222221
2013,NLTC Perera,142.94478527607362,8.14404432132964,0.7898600416761291,-0.4550743749338027,0.3347856667423264,163,361,233,490,14,23.333333333333332
2013,Azhar Mahmood,127.27272727272727,7.613636363636363,0.16777963262895734,0.08111452601867618,0.24889415864763353,154,264,196,335,10,26.1
2013,A Mishra,92.70833333333334,6.336898395721925,-1.2042056111529769,1.3717677258641772,0.1675621147112003,96,374,89,395,6,48.8421052631579
2013,R Bhatia,123.75,7.619771863117871,0.027949903673648073,0.07491215541682653,0.1028620590904746,80,263,99,334,10,28.88235294117647
2013,YK Pathan,138.33333333333334,8.222222222222221,0.6068149106391771,-0.5341043407372301,0.07271056990194702,240,54,332,74,16,10.958762886597938
2013,KV Sharma,98.83720930232558,6.746411483253588,-0.9609284570628135,0.9577913344009191,-0.003137122661894365,86,209,85,235,7,28.0
2013,JP Faulkner,100.0,6.902374670184697,-0.914773107670213,0.8001282967773468,-0.11464481089286627,57,379,57,436,9,27.25581395348837
2013,PP Chawla,112.28070175438596,7.422857142857143,-0.4273078386466101,0.27397305921084786,-0.15333477943576224,57,350,64,433,10,36.951219512195124
2013,AD Mathews,123.74100719424462,7.903225806451613,0.027592946834820897,-0.21163116683599545,-0.18403822000117456,139,186,172,245,10,19.68421052631579
2013,LJ Wright,176.66666666666666,10.271186440677965,2.128402928948566,-2.6054003242338735,-0.4769973952853075,60,59,106,101,5,11.8
2013,KA Pollard,149.46619217081852,9.419354838709678,1.0487181615082357,-1.7442845663890594,-0.6955664048808237,281,186,420,292,18,12.075
2013,DJ Bravo,114.15094339622642,8.058510638297873,-0.3530712141187562,-0.36860845594821023,-0.7216796700669664,106,376,121,505,12,25.75
2013,J Botha,82.6923076923077,6.84,-1.6017777313216097,0.8631827916590893,-0.7385949396625204,52,100,43,114,6,25.545454545454547
2013,MC Henriques,132.0,8.834645669291339,0.35542210761414716,-1.1532026220481055,-0.7977805144339584,125,127,165,187,9,16.681818181818183
2013,B Kumar,73.23943661971832,6.664723032069971,-1.9769962190435773,1.0403701121612312,-0.936626106882346,71,343,52,381,9,38.111111111111114
2013,JH Kallis,96.58385093167702,7.583850931677019,-1.0503723639602747,0.11122459091312314,-0.9391477730471516,322,322,311,407,15,18.431578947368422
2013,IK Pathan,93.42105263157895,7.616883116883116,-1.1759152160757147,0.07783238624345243,-1.0980828298322622,152,308,142,391,13,25.435897435897434
2013,MR Marsh,132.0754716981132,9.435897435897436,0.3584178510464215,-1.7610074621834186,-1.402589611136997,106,117,140,184,8,12.44
2014,Shakib Al Hasan,149.3421052631579,6.78,0.737258205248281,1.2048587365620804,1.9421169418103614,152,300,227,339,11,26.526315789473685
2014,JP Faulkner,192.5531914893617,10.107692307692307,2.421991542323906,-0.9371894691824479,1.484802073141458,94,260,181,438,12,27.25581395348837
2014,SK Raina,145.6824512534819,7.5,0.5945739625984225,0.7413919957907263,1.3359659583891488,359,108,523,135,16,6.904761904761905
2014,JP Duminy,134.4262295081967,7.333333333333333,0.15571130766479901,0.8486759635618734,1.0043872712266724,305,198,410,242,14,10.086206896551724
2014,R Bhatia,126.41509433962264,7.552631578947368,-0.15663044684844793,0.7075128480735222,0.5508824012250743,53,228,67,287,7,28.88235294117647
2014,AR Patel,103.33333333333334,6.424242424242424,-1.0565525650322398,1.4338612423135835,0.37730867728134365,60,396,62,424,7,25.8046875
2014,RA Jadeja,132.72727272727275,8.208588957055214,0.08947161371011292,0.2852705868005132,0.3747422005106261,110,326,146,446,10,21.6734693877551
2014,Yuvraj Singh,135.25179856115108,8.426470588235293,0.1878989665977219,0.14501935141582217,0.3329183180135441,278,136,376,191,14,8.51578947368421
2014,SR Watson,122.44897959183673,7.8604651162790695,-0.3112631191049079,0.5093592282856879,0.19809610918078002,196,129,240,169,13,18.07079646017699
2014,GJ Maxwell,187.75510204081633,12.090909090909092,2.234921464846121,-2.21379366190541,0.02112780294071115,294,66,552,133,16,7.175438596491228
2014,STR Binny,101.65289256198346,7.222222222222222,-1.1220703484467518,0.9201986087426376,-0.2018717397041142,121,54,123,65,11,9.073170731707316
2014,R Dhawan,109.33333333333333,7.880281690140845,-0.8226218563817397,0.4966032242565603,-0.3260186321251794,75,284,82,373,6,47.333333333333336
2014,MG Johnson,112.00000000000001,8.256880733944953,-0.7186526525370719,0.25418498618781216,-0.46446766634925973,50,327,56,450,8,40.875
2014,CJ Anderson,146.40883977900552,10.444444444444445,0.6228947263536445,-1.1539581014995348,-0.5310633751458903,181,108,265,188,11,10.045454545454545
2014,MA Starc,101.19047619047619,7.7592592592592595,-1.1400992466931335,0.5745058237022754,-0.565593422990858,84,324,85,419,8,40.5
2014,DR Smith,136.05769230769232,9.9,0.21931951580195527,-0.8034971401137885,-0.5841776243118332,416,60,566,99,16,7.735849056603773
2014,JH Kallis,117.05426356589147,8.772727272727273,-0.5215947429245058,-0.07786739446166822,-0.599462137386174,129,132,151,193,7,18.431578947368422
2014,KA Pollard,134.48275862068965,10.460526315789474,0.15791529022227518,-1.1643100633020143,-1.0063947730797391,203,152,273,265,15,12.075
2014,IK Pathan,101.85185185185186,8.830985915492958,-1.1143132338348327,-0.11536870457885501,-1.2296819384136877,54,142,55,209,6,25.435897435897434
2014,DJG Sammy,118.68131868131869,11.223529411764707,-0.4581583835636208,-1.6554580606493667,-2.1136164442129877,91,85,108,159,9,12.222222222222221
2015,AD Russell,192.89940828402368,8.130612244897959,2.5106351251641303,0.48843590910243495,2.9990710342665654,169,245,326,332,11,15.268518518518519
2015,MC Henriques,136.01895734597156,6.56,-0.09888966221171856,2.2296313692220426,2.130741707010324,211,150,287,164,9,16.681818181818183
2015,Harbhajan Singh,160.27397260273972,7.859649122807017,1.0138663459930826,0.7888281666931907,1.8026945126862732,73,342,117,448,9,35.16923076923077
2015,P Negi,158.9041095890411,8.633333333333333,0.9510206506688825,-0.06888540284679812,0.8821352478220844,73,180,116,259,9,17.08
2015,DJ Hooda,158.94736842105263,8.637362637362637,0.9530052515738571,-0.0733523270708109,0.8796529245030462,95,91,151,131,9,7.571428571428571
2015,JP Duminy,131.42857142857142,7.529411764705882,-0.30948443840508233,1.1549323980561308,0.8454479596510485,315,102,414,128,13,10.086206896551724
2015,AD Mathews,138.46153846153845,8.3,0.013169505061582326,0.3006510556851686,0.3138205607467509,104,180,144,249,10,19.68421052631579
2015,D Wiese,141.86046511627907,8.503937007874015,0.16910327861196944,0.0745645767250608,0.24366785533703023,86,254,122,360,7,36.285714285714285
2015,KA Pollard,163.671875,9.428571428571429,1.1697531293167833,-0.9504938110587797,0.2192593182580036,256,77,419,121,14,12.075
2015,SK Raina,122.62295081967214,7.833333333333333,-0.7134630438520732,0.8180020976299248,0.10453905377785166,305,72,374,94,17,6.904761904761905
2015,STR Binny,112.12121212121211,7.526315789473684,-1.195255065403056,1.1583646252251583,-0.036890440177897776,66,114,74,143,8,9.073170731707316
2015,HH Pandya,180.64516129032256,10.36893203883495,1.9484426538787731,-1.9929864000380055,-0.0445437461592324,62,103,112,178,8,14.079365079365079
2015,DJ Bravo,131.75675675675674,8.41904761904762,-0.2944281627492266,0.16867374906660904,-0.12575441368261758,148,315,195,442,13,25.75
2015,RS Bopara,120.83333333333333,8.2,-0.7955659652161898,0.41151199324476057,-0.38405397197142926,120,120,145,164,8,11.647058823529411
2015,KV Sharma,122.3529411764706,8.485355648535565,-0.7258503728050787,0.0951640458989828,-0.6306863269060959,85,239,104,338,9,28.0
2015,Yuvraj Singh,118.0952380952381,8.333333333333334,-0.9211825395606329,0.2636974098319719,-0.657485129728661,210,54,248,75,13,8.51578947368421
2015,RA Jadeja,104.76190476190477,7.828125,-1.5328806407161841,0.8237761047944865,-0.7091045359216976,126,256,132,334,11,21.6734693877551
2015,AR Patel,118.39080459770115,8.55,-0.9076227294364955,0.023498711786192575,-0.8841240176503029,174,280,206,399,12,25.8046875
2015,SR Watson,135.0194552529183,9.306818181818182,-0.14474417714334406,-0.8155170201988883,-0.9602611973422324,257,176,347,273,9,18.07079646017699
2015,JA Morkel,132.3076923076923,9.416666666666666,-0.2691526954717494,-0.9372960803969228,-1.2064487758686722,65,72,86,113,3,25.25862068965517
2015,JP Faulkner,132.11009174311928,9.586715867158672,-0.2782180872319925,-1.125814218374948,-1.4040323056069406,109,271,144,433,11,27.25581395348837
2015,GJ Maxwell,129.46428571428572,9.7,-0.39960067652174747,-1.2514020701490953,-1.6510027466708428,112,60,145,97,11,7.175438596491228
2015,YK Pathan,135.06493506493507,10.0,-0.14265768354447655,-1.5839848828278673,-1.726642566372344,231,60,312,100,12,10.958762886597938
2016,CH Gayle,151.33333333333334,6.39344262295082,0.6398908343117344,2.3502984052124027,2.9901892395241374,150,61,227,65,10,12.842105263157896
2016,CH Morris,178.89908256880733,7.245283018867925,1.5921615293478402,1.348232777176009,2.9403943065238494,109,265,195,320,7,30.066666666666666
2016,KH Pandya,191.1290322580645,7.636363636363636,2.014650415514525,0.8881836336251359,2.9028340491396607,124,187,237,238,8,21.983739837398375
2016,AD Russell,164.91228070175438,8.246575342465754,1.1089814270587834,0.17035881639272735,1.2793402434515109,114,219,188,301,8,15.268518518518519
2016,DJ Hooda,119.00826446280992,7.461538461538462,-0.4767926099681009,1.093839880320448,0.6170472703523472,121,78,144,97,15,7.571428571428571
2016,AR Patel,144.15584415584414,8.257839721254355,0.39194137539167656,0.1571079223762644,0.549049297767941,77,287,111,395,10,25.8046875
2016,DR Smith,146.60633484162895,8.477064220183486,0.4765946329033142,-0.10077763488693144,0.3758169980163828,221,109,324,154,12,7.735849056603773
2016,SK Raina,127.88461538461537,8.4,-0.17015523945852634,-0.010122851939992622,-0.18027809139851897,312,60,399,84,15,6.904761904761905
2016,MC Henriques,115.18987341772151,8.038461538461538,-0.6087005752972883,0.41517426622591536,-0.19352630907137292,158,312,182,418,15,16.681818181818183
