match_id,season,player,impact_score,batting_raw,bowling_raw,fielding_raw,batting_z,bowling_z,fielding_z,balls_faced,balls_bowled,is_batter,is_bowler
1254058,2021.0,AB de Villiers,1.1043253916194908,7.980829558554301,0.0,1.0,1.1496920440138805,0.14155257299019608,0.8472476947179489,27.0,0.0,True,False
1254058,2021.0,CA Lynn,0.4648664541390132,0.9771312139918522,0.0,2.0,0.1407623072816953,0.14155257299019608,2.3014566196638144,36.0,0.0,True,False
1254058,2021.0,DT Christian,-0.44963023184506146,-3.651320851500385,-2.4591918785807625,1.0,-0.5259972666140252,-0.8963392935592606,0.8472476947179489,3.0,12.0,True,True
1254058,2021.0,GJ Maxwell,-0.16924932511421537,-0.63867936566319,0.0,0.0,-0.09200604774120928,0.14155257299019608,-0.6069612302279164,30.0,0.0,True,False
1254058,2021.0,HH Pandya,-0.22847575224991723,-1.122364921791292,0.0,0.0,-0.16168419731262323,0.14155257299019608,-0.6069612302279164,10.0,0.0,True,False
1254058,2021.0,HV Patel,0.1421420843823914,-0.651320851500385,1.560808121419238,0.0,-0.09382713859209196,0.800285252036071,-0.6069612302279164,3.0,25.0,True,True
1254058,2021.0,Ishan Kishan,-0.12101091408655143,-0.24472984358258376,0.0,0.0,-0.035254975943957614,0.14155257299019608,-0.6069612302279164,20.0,0.0,True,False
1254058,2021.0,JJ Bumrah,0.0347783616824847,-2.1008805676669233,1.5408081214192375,0.0,-0.302645941295802,0.7918443338987806,-0.6069612302279164,2.0,24.0,True,True
1254058,2021.0,KA Jamieson,0.030466421723279777,-2.2017611353338467,1.560808121419238,0.0,-0.31717846391031523,0.800285252036071,-0.6069612302279164,4.0,25.0,True,True
1254058,2021.0,KA Pollard,-0.942544402641761,-6.953962554501155,0.0,0.0,-1.0017649624794982,0.14155257299019608,-0.6069612302279164,9.0,0.0,True,False
1254058,2021.0,KH Pandya,0.16363053200138433,-3.8530819868342316,1.7908081214192375,1.0,-0.5550623118430517,0.8973558106149081,0.8472476947179489,7.0,24.0,True,True
1254058,2021.0,M Jansen,-0.14065124016964237,-3.1008805676669233,0.8408081214192382,0.0,-0.4467026506364465,0.4964121990936238,-0.6069612302279164,2.0,25.0,True,True
1254058,2021.0,Mohammed Siraj,0.2221417370738527,-1.5504402838334617,2.5408081214192375,0.0,-0.2233513253182232,1.2138902407632908,-0.6069612302279164,1.0,24.0,True,True
1254058,2021.0,RD Chahar,-0.7244860005263877,0.0,-2.7091918785807625,1.0,2.6793213476515095e-17,-1.0018507702753883,0.8472476947179489,0.0,24.0,False,True
1254058,2021.0,RG Sharma,-0.25468591804649016,-1.3364159667830493,0.0,0.0,-0.192519686485062,0.14155257299019608,-0.6069612302279164,15.0,0.0,True,False
1254058,2021.0,RM Patidar,-0.6055531146360316,-4.20184958006983,0.0,0.0,-0.6053046236492283,0.14155257299019608,-0.6069612302279164,9.0,0.0,True,False
1254058,2021.0,SA Yadav,-0.0435266347056495,0.3880624516147222,0.0,0.0,0.05590299979827995,0.14155257299019608,-0.6069612302279164,23.0,0.0,True,False
1254058,2021.0,Shahbaz Ahmed,-1.1349948478856584,-2.9603018932287224,-5.9591918785807625,0.0,-0.42645134939340945,-2.3734999675850466,-0.6069612302279164,3.0,6.0,True,True
1254058,2021.0,TA Boult,-0.31482405280730824,0.0,-0.9591918785807625,0.0,2.6793213476515095e-17,-0.26327043326249505,-0.6069612302279164,0.0,24.0,False,True
1254058,2021.0,V Kohli,-0.790326708589106,-5.710843501722535,0.0,0.0,-0.8226853224175512,0.14155257299019608,-0.6069612302279164,29.0,0.0,True,False
1254058,2021.0,Washington Sundar,-0.6094468755016085,-13.047938095687456,1.0408081214192375,1.0,-1.8796430257451695,0.5808213804665255,0.8472476947179489,17.0,6.0,True,True
1254058,2021.0,YS Chahal,-0.7632478288508505,0.0,-2.2091918785807625,0.0,2.6793213476515095e-17,-0.790827816843133,-0.6069612302279164,0.0,24.0,False,True
1254059,2021.0,A Mishra,-0.05618879363258414,0.0,-0.2382352941176471,0.0,2.6793213476515095e-17,0.041006342237180374,-0.6069612302279164,0.0,18.0,False,True
1254059,2021.0,AT Rayudu,0.1389612834810332,1.8783899027801454,0.0,0.0,0.2705946682532008,0.14155257299019608,-0.6069612302279164,16.0,0.0,True,False
1254059,2021.0,Avesh Khan,1.1097130240806254,0.0,3.011764705882353,0.0,2.6793213476515095e-17,1.4126555395468388,-0.6069612302279164,0.0,24.0,False,True
1254059,2021.0,CR Woakes,0.9004485952603059,0.0,2.42843137254902,0.0,2.6793213476515095e-17,1.1664620938758745,-0.6069612302279164,0.0,18.0,False,True
1254059,2021.0,DJ Bravo,0.6612892480370832,0.0,1.761764705882353,0.0,2.6793213476515095e-17,0.8850981559662009,-0.6069612302279164,0.0,24.0,False,True
1254059,2021.0,DL Chahar,-0.05618879363258414,0.0,-0.2382352941176471,0.0,2.6793213476515095e-17,0.041006342237180374,-0.6069612302279164,0.0,24.0,False,True
1254059,2021.0,F du Plessis,-0.5890757024069295,-4.0672831933566105,0.0,0.0,-0.5859194327914613,0.14155257299019608,-0.6069612302279164,3.0,0.0,True,False
1254059,2021.0,MM Ali,0.21169285276234703,3.8896596536586685,-1.6592879256965958,1.0,0.5603315701611384,-0.5587431043597558,0.8472476947179489,24.0,19.0,True,True
1254059,2021.0,MP Stoinis,-0.9690830606330045,-1.5044028383346166,-5.5459276018099555,0.0,-0.21671932241321032,-2.1990834711206055,-0.6069612302279164,10.0,13.0,True,True
1254059,2021.0,MS Dhoni,-0.47074143757516695,-3.1008805676669233,0.0,0.0,-0.4467026506364465,0.14155257299019608,-0.6069612302279164,2.0,0.0,True,False
1254059,2021.0,PP Shaw,2.5041583203838265,21.194288218335522,0.0,0.0,3.053179417550605,0.14155257299019608,-0.6069612302279164,38.0,0.0,True,False
1254059,2021.0,R Ashwin,-1.1324058561370853,0.0,-3.238235294117647,0.0,2.6793213476515095e-17,-1.2251313783563507,-0.6069612302279164,0.0,24.0,False,True
1254059,2021.0,RA Jadeja,0.11163900368862818,0.5638737858600344,0.7617647058823529,0.0,0.08122980207444778,0.4630522491016907,-0.6069612302279164,17.0,12.0,True,True
