match_id,season,over,ball_in_over,batting_team,bowling_team,cumulative_runs,cumulative_wickets,rf_win_prob,batting_team_won
1529306,2026,10,2,Sunrisers Hyderabad,Chennai Super Kings,64,2,0.11052631578947368,1
1529306,2026,10,3,Sunrisers Hyderabad,Chennai Super Kings,68,2,0.07075471698113207,1
1529306,2026,10,4,Sunrisers Hyderabad,Chennai Super Kings,68,2,0.07075471698113207,1
1529306,2026,10,5,Sunrisers Hyderabad,Chennai Super Kings,74,2,0.03664921465968586,1
1529306,2026,10,6,Sunrisers Hyderabad,Chennai Super Kings,75,2,0.01757469244288225,1
1529306,2026,11,1,Sunrisers Hyderabad,Chennai Super Kings,76,2,0.01757469244288225,1
1529306,2026,11,2,Sunrisers Hyderabad,Chennai Super Kings,77,2,0.01757469244288225,1
1529306,2026,11,3,Sunrisers Hyderabad,Chennai Super Kings,83,2,0.18106995884773663,1
1529306,2026,11,4,Sunrisers Hyderabad,Chennai Super Kings,87,2,0.24605678233438485,1
1529306,2026,11,5,Sunrisers Hyderabad,Chennai Super Kings,88,2,0.21566401816118047,1
1529306,2026,11,6,Sunrisers Hyderabad,Chennai Super Kings,89,2,0.24605678233438485,1
1529306,2026,12,1,Sunrisers Hyderabad,Chennai Super Kings,89,2,0.12693498452012383,1
1529306,2026,12,2,Sunrisers Hyderabad,Chennai Super Kings,93,2,0.21566401816118047,1
1529306,2026,12,3,Sunrisers Hyderabad,Chennai Super Kings,94,2,0.21566401816118047,1
1529306,2026,12,4,Sunrisers Hyderabad,Chennai Super Kings,96,2,0.21566401816118047,1
1529306,2026,12,5,Sunrisers Hyderabad,Chennai Super Kings,97,2,0.21566401816118047,1
1529306,2026,12,6,Sunrisers Hyderabad,Chennai Super Kings,98,2,0.1388888888888889,1
1529306,2026,13,1,Sunrisers Hyderabad,Chennai Super Kings,100,2,0.18106995884773663,1
1529306,2026,13,2,Sunrisers Hyderabad,Chennai Super Kings,106,2,0.44607843137254904,1
1529306,2026,13,3,Sunrisers Hyderabad,Chennai Super Kings,107,2,0.3699421965317919,1
1529306,2026,13,3,Sunrisers Hyderabad,Chennai Super Kings,108,2,0.3699421965317919,1
1529306,2026,13,4,Sunrisers Hyderabad,Chennai Super Kings,109,2,0.3699421965317919,1
1529306,2026,13,5,Sunrisers Hyderabad,Chennai Super Kings,113,2,0.5153061224489796,1
1529306,2026,13,6,Sunrisers Hyderabad,Chennai Super Kings,114,2,0.47523584905660377,1
1529306,2026,14,1,Sunrisers Hyderabad,Chennai Super Kings,115,2,0.5421245421245421,1
1529306,2026,14,2,Sunrisers Hyderabad,Chennai Super Kings,119,2,0.6848137535816619,1
1529306,2026,14,3,Sunrisers Hyderabad,Chennai Super Kings,120,2,0.6848137535816619,1
1529306,2026,14,4,Sunrisers Hyderabad,Chennai Super Kings,121,2,0.5630252100840336,1
1529306,2026,14,4,Sunrisers Hyderabad,Chennai Super Kings,122,2,0.6848137535816619,1
1529306,2026,14,5,Sunrisers Hyderabad,Chennai Super Kings,126,2,0.65625,1
1529306,2026,14,6,Sunrisers Hyderabad,Chennai Super Kings,126,2,0.6332288401253918,1
1529306,2026,15,1,Sunrisers Hyderabad,Chennai Super Kings,127,2,0.6332288401253918,1
1529306,2026,15,2,Sunrisers Hyderabad,Chennai Super Kings,131,2,0.6848137535816619,1
1529306,2026,15,3,Sunrisers Hyderabad,Chennai Super Kings,131,3,0.65625,1
1529306,2026,15,4,Sunrisers Hyderabad,Chennai Super Kings,133,3,0.6332288401253918,1
1529306,2026,15,5,Sunrisers Hyderabad,Chennai Super Kings,137,3,0.6848137535816619,1
1529306,2026,15,6,Sunrisers Hyderabad,Chennai Super Kings,137,3,0.65625,1
1529306,2026,16,1,Sunrisers Hyderabad,Chennai Super Kings,137,3,0.65625,1
1529306,2026,16,2,Sunrisers Hyderabad,Chennai Super Kings,137,3,0.6332288401253918,1
1529306,2026,16,3,Sunrisers Hyderabad,Chennai Super Kings,138,3,0.6332288401253918,1
1529306,2026,16,3,Sunrisers Hyderabad,Chennai Super Kings,139,3,0.65625,1
1529306,2026,16,4,Sunrisers Hyderabad,Chennai Super Kings,140,3,0.6332288401253918,1
1529306,2026,16,5,Sunrisers Hyderabad,Chennai Super Kings,142,3,0.65625,1
1529306,2026,16,6,Sunrisers Hyderabad,Chennai Super Kings,143,3,0.6332288401253918,1
