player,display_name,bat_balls,bowl_balls,role
RV Uthappa,Robin Uthappa,255,0,batter
RG Sharma,Rohit Sharma,1413,7,batter
R Powell,Rovman Powell,339,19,batter
RD Gaikwad,Ruturaj Gaikwad,1798,0,batter
RD Rickelton,Ryan Rickelton,345,0,batter
SW Billings,Sam Billings,138,0,batter
Sameer Rizvi,Sameer Rizvi,262,0,batter
SV Samson,Sanju Samson,1630,0,batter
SN Khan,Sarfaraz Khan,228,0,batter
SB Dubey,Saurabh Dubey,108,0,batter
SS Tiwary,Saurabh Tiwary,97,0,batter
SD Hope,Shai Hope,122,0,batter
SK Rasheed,Shaik Rasheed,63,0,batter
S Dhawan,Shikhar Dhawan,1228,0,batter
SO Hetmyer,Shimron Hetmyer,840,0,batter
SE Rutherford,Shimron Rutherford,289,0,batter
SS Iyer,Shreyas Iyer,1230,6,batter
Shubman Gill,Shubman Gill,2259,0,batter
SPD Smith,Steve Smith,135,0,batter
SK Raina,Suresh Raina,128,0,batter
SA Yadav,Suryakumar Yadav,1506,0,batter
SS Prabhudessai,Suyash Prabhudessai,106,0,batter
Tilak Varma,Tilak Varma,1144,22,batter
TH David,Tim David,582,6,batter
T Kohler-Cadmore,Tom Kohler-Cadmore,54,0,batter
TM Head,Travis Head,656,10,batter
T Stubbs,Tristan Stubbs,578,36,batter
V Suryavanshi,Vaibhav Suryavanshi,290,0,batter
V Kohli,Virat Kohli,2239,0,batter
WP Saha,Wriddhiman Saha,801,0,batter
YBK Jaiswal,Yashasvi Jaiswal,1566,1,batter
Abhinandan Singh,Abhinandan Singh,0,58,bowler
AF Milne,Adam Milne,17,100,bowler
A Zampa,Adam Zampa,16,180,bowler
AU Rashid,Adil Rashid,16,60,bowler
Akash Deep,Akash Deep,14,282,bowler
Akash Madhwal,Akash Madhwal,14,359,bowler
Akash Singh,Akash Singh,0,205,bowler
AJ Hosein,Akeal Hosein,12,108,bowler
AS Joseph,Alzarri Joseph,19,383,bowler
A Mishra,Amit Mishra,30,210,bowler
AJ Tye,Andrew Tye,0,66,bowler
A Nortje,Anrich Nortje,44,762,bowler
A Kamboj,Anshul Kamboj,44,361,bowler
AS Roy,Anukul Roy,52,239,bowler
Arjun Tendulkar,Arjun Tendulkar,9,74,bowler
Arshdeep Singh,Arshdeep Singh,43,1690,bowler
Ashok Sharma,Ashok Sharma,4,127,bowler
Ashwani Kumar,Ashwani Kumar,6,173,bowler
Avesh Khan,Avesh Khan,40,1544,bowler
Basil Thampi,Basil Thampi,0,96,bowler
Brijesh Sharma,Brijesh Sharma,3,118,bowler
C Sakariya,Chetan Sakariya,31,449,bowler
CJ Jordan,Chris Jordan,41,283,bowler
CH Morris,Chris Morris,49,246,bowler
CR Woakes,Chris Woakes,11,67,bowler
C Bosch,Corbin Bosch,36,61,bowler
DT Christian,Dan Christian,24,100,bowler
DR Sams,Daniel Sams,42,289,bowler
DG Nalkande,Darshan Nalkande,12,85,bowler
DJ Willey,David Willey,62,156,bowler
DL Chahar,Deepak Chahar,33,956,bowler
DS Rathi,Digvesh Rathi,8,458,bowler
PVD Chameera,Dushmantha Chameera,45,399,bowler
D Pretorius,Dwaine Pretorius,28,150,bowler
DJ Bravo,Dwayne Bravo,42,411,bowler
E Malinga,Eshan Malinga,0,322,bowler
FA Allen,Fabian Allen,19,90,bowler
Fazalhaq Farooqi,Fazalhaq Farooqi,15,254,bowler
GHS Garton,George Garton,4,92,bowler
G Coetzee,Gerald Coetzee,33,274,bowler
Gurjapneet Singh,Gurjapneet Singh,0,85,bowler
Harsh Dubey,Harsh Dubey,9,162,bowler
Harshit Rana,Harshit Rana,56,653,bowler
HR Shokeen,Hrithik Shokeen,65,206,bowler
I Sharma,Ishant Sharma,8,496,bowler
JA Duffy,Jacob Duffy,0,73,bowler
J Suchith,Jagadeesha Suchith,14,150,bowler
JP Behrendorff,Jason Behrendorff,9,252,bowler
JJ Bumrah,Jasprit Bumrah,45,1415,bowler
J Yadav,Jayant Yadav,26,126,bowler
JA Richardson,Jhye Richardson,26,90,bowler
JDS Neesham,Jimmy Neesham,29,72,bowler
JC Archer,Jofra Archer,68,595,bowler
JR Hazlewood,Josh Hazlewood,29,926,bowler
J Little,Josh Little,0,228,bowler
KM Asif,KM Asif,2,99,bowler
KV Sharma,Karn Sharma,21,363,bowler
Kartik Tyagi,Kartik Tyagi,19,365,bowler
KK Ahmed,Khaleel Ahmed,6,1284,bowler
K Gowtham,Krishnappa Gowtham,38,180,bowler
KR Sen,Kuldeep Sen,3,243,bowler
K Yadav,Kuldeep Yadav,4,54,bowler
K Kartikeya,Kumar Kartikeya,17,282,bowler
KT Maphaka,Kwena Maphaka,2,66,bowler
KA Jamieson,Kyle Jamieson,73,279,bowler
LH Ferguson,Lockie Ferguson,17,756,bowler
L Ngidi,Lungi Ngidi,8,262,bowler
M Siddharth,M Siddharth,0,165,bowler
M Theekshana,Maheesh Theekshana,34,878,bowler
MA Wood,Mark Wood,5,97,bowler
M Pathirana,Matheesha Pathirana,0,704,bowler
MJ Henry,Matt Henry,10,132,bowler
Mayank Dagar,Mayank Dagar,1,137,bowler
M Markande,Mayank Markande,13,451,bowler
MP Yadav,Mayank Yadav,5,146,bowler
MG Bracewell,Michael Bracewell,47,66,bowler
MA Starc,Mitchell Starc,21,482,bowler
AM Ghazanfar,Mohammad Ghazanfar,0,101,bowler
Mohammad Nabi,Mohammad Nabi,51,122,bowler
MM Sharma,Mohit Sharma,19,653,bowler
Mohsin Khan,Mohsin Khan,28,582,bowler
MC Henriques,Moises Henriques,32,60,bowler
Mukesh Choudhary,Mukesh Choudhary,6,352,bowler
Mukesh Kumar,Mukesh Kumar,18,793,bowler
M Ashwin,Murugan Ashwin,38,266,bowler
Mustafizur Rahman,Mustafizur Rahman,21,823,bowler
N Burger,Nandre Burger,5,280,bowler
NM Coulter-Nile,Nathan Coulter-Nile,7,140,bowler
NT Ellis,Nathan Ellis,25,381,bowler
Navdeep Saini,Navdeep Saini,6,119,bowler
Naveen-ul-Haq,Naveen-ul-Haq,25,392,bowler
Noor Ahmad,Noor Ahmad,53,971,bowler
N Thushara,Nuwan Thushara,0,183,bowler
OC McCoy,Obed McCoy,5,163,bowler
OF Smith,Odean Smith,44,91,bowler
PP Chawla,Piyush Chawla,39,600,bowler
PJ Sangwan,Pradeep Sangwan,5,54,bowler
PP Hinge,Praful Hinge,1,74,bowler
M Prasidh Krishna,Prasidh Krishna,13,1151,bowler
Prince Yadav,Prince Yadav,11,317,bowler
R Sai Kishore,R Sai Kishore,16,441,bowler
Rasikh Salam,Rasikh Salam,36,303,bowler
Ravi Bishnoi,Ravi Bishnoi,57,1477,bowler
RJW Topley,Reece Topley,6,120,bowler
RJ Gleeson,Richard Gleeson,2,69,bowler
