season,player,avg_impact,matches_played,avg_batting_z,avg_bowling_z,bowled_matches
2021.0,CV Varun,0.4562481083609703,17,-0.03560540485832962,0.6394409855198719,17
2021.0,PP Shaw,0.44940456807268814,15,0.6187137215969611,,0
2021.0,Ravi Bishnoi,0.39915906087017017,9,-0.10807776858338573,0.6702883032822399,9
2021.0,A Nortje,0.3387207721515876,8,2.6793213476515095e-17,0.473527693344753,8
2021.0,LH Ferguson,0.3084556989842771,8,-0.038818307625662775,0.144257677907336,8
2021.0,SP Narine,0.2743969718534504,14,-0.10513267607020145,0.6610461703212571,14
2021.0,YBK Jaiswal,0.2553384389138341,10,0.3305214374417149,,0
2021.0,Mohammed Siraj,0.22882772492159215,15,-0.19506668476406103,0.5399503831776292,15
2021.0,AB de Villiers,0.22711248509532883,15,0.06119368021994435,,0
2021.0,SO Hetmyer,0.2045240512671994,13,0.20359286605794152,,0
2021.0,RA Jadeja,0.18984880155457018,16,-0.1924276315573824,0.3786838309947102,16
2021.0,MM Ali,0.17562906004821724,15,-0.10403218519037849,0.7561909045160138,10
2021.0,Shakib Al Hasan,0.17534608375885477,8,-0.42932796588769845,0.30317896251553855,8
2021.0,JJ Bumrah,0.16026477078208518,14,-0.10657608435424884,0.3139809648783511,14
2021.0,YS Chahal,0.14976494132064175,15,-0.2860853959015824,0.347685025606019,15
2021.0,RD Chahar,0.13472554265616524,11,-0.12122508627312056,0.3720572492894073,11
2021.0,Avesh Khan,0.1342280501812342,16,0.0031393481717845537,0.28505087040455884,16
2021.0,AR Patel,0.12944939593529833,12,-0.42215895454404245,0.6075850317902034,12
2021.0,RA Tripathi,0.1287644449028776,16,0.11424676634677378,,0
2021.0,AT Rayudu,0.10048746879880197,14,0.10982257058201308,,0
2021.0,DJ Bravo,0.08953775142740483,11,0.16881238018267064,-0.11364539225623095,11
2021.0,SPD Smith,0.08945465713930464,10,-0.46953123731300145,,0
2021.0,Rashid Khan,0.08036036099095516,14,-0.2786598015943116,0.5482434911583728,14
2021.0,SA Yadav,0.07242349983384964,14,0.10066309978513618,,0
2021.0,Abdul Samad,0.0425217546951349,11,-0.2177076780182818,0.05616586780290025,1
2021.0,Mohammed Shami,0.03146862713402919,14,-0.13744537921295835,0.33365834787179965,14
2021.0,HV Patel,0.027619941223529083,15,-0.11934347485915725,0.12297938781090485,15
2021.0,KL Rahul,0.02410038818138533,13,-0.08168011591477205,,0
2021.0,GJ Maxwell,0.021474046074518652,15,-0.015243846454542295,-0.09362893526460378,6
2021.0,MA Agarwal,0.020965694177707567,12,0.02484920106209232,,0
2021.0,C Sakariya,0.0046257951940163545,14,-0.22472484956269873,0.11920718535302015,14
2021.0,K Rabada,0.0014795263671608734,15,0.035508617967935904,0.010424747283174074,15
2021.0,F du Plessis,-0.002274643769446156,16,-0.08803407446078654,,0
2021.0,Shahbaz Ahmed,-0.006388141028315481,9,-0.3335179837116311,0.34401973972959315,6
2021.0,Abhishek Sharma,-0.02728993283197738,8,-0.19132841250250188,0.29568801187001076,6
2021.0,DJ Hooda,-0.043201759393957075,12,-0.1657138643053691,-0.12208818811120348,7
2021.0,KD Karthik,-0.055332299703940976,17,-0.22371375536795854,,0
2021.0,KA Pollard,-0.062227271660964596,14,-0.16579649436330632,0.16509081260800476,9
2021.0,DL Chahar,-0.07876310906942878,15,-0.005286307731838561,-0.06368682093546875,15
2021.0,Arshdeep Singh,-0.0815844418213406,12,-0.03182837977278171,-0.041667955743761975,12
