season,bowler,pp_balls,pp_runs,pp_wickets,pp_economy,death_balls,death_runs,death_wickets,death_economy,total_balls,total_runs,total_wickets,total_economy
2008,PJ Sangwan,48.0,74.0,2.0,9.25,30.0,53.0,0.0,10.6,145,221,5.0,9.1448
2008,PM Sarvesh Kumar,6.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,30,42,1.0,8.4
2008,PP Chawla,6.0,14.0,1.0,14.0,30.0,48.0,3.0,9.6,281,396,17.0,8.4555
2008,PP Ojha,12.0,33.0,0.0,16.5,54.0,77.0,4.0,8.5556,222,299,10.0,8.0811
2008,Pankaj Singh,18.0,28.0,0.0,9.3333,13.0,33.0,0.0,15.2308,73,129,0.0,10.6027
2008,R Bhatia,0.0,0.0,0.0,0.0,24.0,55.0,2.0,13.75,132,185,6.0,8.4091
2008,R Vinay Kumar,18.0,16.0,0.0,5.3333,13.0,26.0,1.0,12.0,140,183,5.0,7.8429
2008,RA Jadeja,0.0,0.0,0.0,0.0,13.0,21.0,0.0,9.6923,13,21,0.0,9.6923
2008,RG Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,26,1.0,6.5
2008,RP Singh,174.0,239.0,5.0,8.2414,99.0,176.0,9.0,10.6667,309,459,15.0,8.9126
2008,RR Powar,18.0,23.0,0.0,7.6667,0.0,0.0,0.0,0.0,72,93,3.0,7.75
2008,RR Raje,6.0,9.0,0.0,9.0,27.0,42.0,1.0,9.3333,99,142,5.0,8.6061
2008,S Sreesanth,217.0,293.0,13.0,8.1014,62.0,96.0,6.0,9.2903,311,451,19.0,8.701
2008,S Vidyut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,22,1.0,11.0
2008,SB Bangar,18.0,13.0,1.0,4.3333,24.0,57.0,1.0,14.25,150,221,4.0,8.84
2008,SB Joshi,0.0,0.0,0.0,0.0,7.0,13.0,1.0,11.1429,55,82,1.0,8.9455
2008,SB Styris,42.0,45.0,1.0,6.4286,48.0,85.0,2.0,10.625,162,201,3.0,7.4444
2008,SC Ganguly,6.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,120,132,6.0,6.6
2008,SD Chitnis,6.0,13.0,0.0,13.0,6.0,9.0,1.0,9.0,36,62,2.0,10.3333
2008,SK Raina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,30,1.0,9.0
2008,SK Trivedi,30.0,52.0,0.0,10.4,48.0,64.0,5.0,8.0,289,407,13.0,8.4498
2008,SK Warne,0.0,0.0,0.0,0.0,54.0,107.0,5.0,11.8889,312,409,19.0,7.8654
2008,SM Pollock,204.0,213.0,8.0,6.2647,6.0,8.0,0.0,8.0,276,307,11.0,6.6739
2008,SR Watson,193.0,221.0,9.0,6.8705,83.0,125.0,6.0,9.0361,330,395,17.0,7.1818
2008,ST Jayasuriya,6.0,10.0,0.0,10.0,18.0,25.0,1.0,8.3333,126,163,4.0,7.7619
2008,Shahid Afridi,25.0,26.0,1.0,6.24,36.0,59.0,2.0,9.8333,181,237,9.0,7.8564
2008,Shoaib Akhtar,42.0,54.0,5.0,7.7143,0.0,0.0,0.0,0.0,42,54,5.0,7.7143
2008,Shoaib Malik,0.0,0.0,0.0,0.0,15.0,25.0,1.0,10.0,52,87,2.0,10.0385
2008,Sohail Tanvir,132.0,145.0,6.0,6.5909,104.0,122.0,16.0,7.0385,248,275,22.0,6.6532
2008,TM Dilshan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,1.0,3.0
2008,Umar Gul,39.0,42.0,4.0,6.4615,47.0,88.0,4.0,11.234,141,198,12.0,8.4255
2008,V Kohli,0.0,0.0,0.0,0.0,6.0,9.0,1.0,9.0,47,62,2.0,7.9149
2008,V Sehwag,6.0,22.0,0.0,22.0,12.0,37.0,1.0,18.5,66,134,3.0,12.1818
2008,VRV Singh,55.0,102.0,1.0,11.1273,91.0,133.0,6.0,8.7692,291,425,11.0,8.7629
2008,VS Yeligati,6.0,13.0,0.0,13.0,6.0,13.0,0.0,13.0,30,61,0.0,12.2
2008,VY Mahesh,68.0,124.0,3.0,10.9412,56.0,70.0,9.0,7.5,260,380,16.0,8.7692
2008,WA Mota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,36,1.0,12.0
2008,WPUJC Vaas,78.0,98.0,4.0,7.5385,18.0,42.0,1.0,14.0,102,146,5.0,8.5882
2008,Y Venugopal Rao,12.0,21.0,1.0,10.5,0.0,0.0,0.0,0.0,84,137,2.0,9.7857
2008,YK Pathan,30.0,29.0,3.0,5.8,13.0,35.0,0.0,16.1538,169,233,8.0,8.2722
2008,Yuvraj Singh,0.0,0.0,0.0,0.0,6.0,4.0,2.0,4.0,54,85,3.0,9.4444
2008,Z Khan,156.0,221.0,7.0,8.5,60.0,92.0,5.0,9.2,252,369,13.0,8.7857
2009,A Flintoff,12.0,21.0,0.0,10.5,24.0,59.0,1.0,14.75,66,106,2.0,9.6364
2009,A Kumble,36.0,24.0,2.0,4.0,67.0,79.0,9.0,7.0746,355,353,21.0,5.9662
2009,A Mishra,12.0,15.0,0.0,7.5,20.0,39.0,3.0,11.7,259,300,14.0,6.9498
2009,A Mithun,6.0,13.0,0.0,13.0,6.0,14.0,0.0,14.0,24,42,0.0,10.5
2009,A Nehra,171.0,190.0,9.0,6.6667,110.0,135.0,10.0,7.3636,311,354,19.0,6.8296
2009,A Singh,67.0,56.0,5.0,5.0149,33.0,41.0,4.0,7.4545,106,100,9.0,5.6604
2009,A Symonds,42.0,28.0,1.0,4.0,12.0,19.0,1.0,9.5,144,162,7.0,6.75
2009,AB Agarkar,48.0,83.0,2.0,10.375,60.0,104.0,1.0,10.4,186,293,6.0,9.4516
2009,AB Dinda,102.0,141.0,2.0,8.2941,24.0,48.0,2.0,12.0,144,195,4.0,8.125
2009,AB McDonald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,22,0.0,7.3333
2009,AD Mascarenhas,84.0,96.0,6.0,6.8571,2.0,3.0,0.0,9.0,116,133,6.0,6.8793
2009,AD Mathews,6.0,9.0,0.0,9.0,2.0,7.0,0.0,21.0,14,32,0.0,13.7143
2009,AM Nayar,6.0,10.0,0.0,10.0,6.0,9.0,1.0,9.0,72,84,4.0,7.0
2009,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,1.0,5.0
2009,AM Salvi,48.0,58.0,0.0,7.25,12.0,17.0,0.0,8.5,102,138,4.0,8.1176
2009,AS Raut,0.0,0.0,0.0,0.0,12.0,13.0,0.0,6.5,24,37,0.0,9.25
2009,Anureet Singh,18.0,23.0,1.0,7.6667,12.0,24.0,1.0,12.0,30,47,2.0,9.4
2009,B Akhil,6.0,12.0,0.0,12.0,24.0,36.0,1.0,9.0,66,80,4.0,7.2727
2009,B Lee,61.0,63.0,2.0,6.1967,44.0,31.0,2.0,4.2273,125,113,5.0,5.424
2009,BAW Mendis,7.0,5.0,0.0,4.2857,30.0,38.0,1.0,7.6,97,118,3.0,7.299
2009,BJ Hodge,30.0,53.0,0.0,10.6,12.0,20.0,2.0,10.0,120,167,7.0,8.35
2009,C Nanda,0.0,0.0,0.0,0.0,6.0,8.0,0.0,8.0,48,58,2.0,7.25
2009,CH Gayle,12.0,15.0,0.0,7.5,41.0,56.0,1.0,8.1951,113,146,1.0,7.7522
2009,CK Langeveldt,12.0,8.0,2.0,4.0,6.0,4.0,0.0,4.0,24,15,3.0,3.75
2009,D du Preez,18.0,12.0,3.0,4.0,7.0,16.0,0.0,13.7143,43,56,4.0,7.814
2009,DJ Bravo,91.0,110.0,6.0,7.2527,49.0,73.0,1.0,8.9388,200,265,11.0,7.95
2009,DJ Hussey,6.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,24,34,0.0,8.5
2009,DL Vettori,0.0,0.0,0.0,0.0,31.0,53.0,1.0,10.2581,139,186,7.0,8.0288
2009,DP Nannes,156.0,181.0,8.0,6.9615,99.0,147.0,7.0,8.9091,297,384,15.0,7.7576
2009,DR Smith,24.0,55.0,0.0,13.75,12.0,20.0,1.0,10.0,84,128,1.0,9.1429
2009,DS Kulkarni,108.0,136.0,4.0,7.5556,12.0,8.0,0.0,4.0,156,209,5.0,8.0385
2009,DW Steyn,36.0,37.0,0.0,6.1667,18.0,25.0,2.0,8.3333,54,62,2.0,6.8889
2009,FH Edwards,78.0,61.0,3.0,4.6923,51.0,85.0,2.0,10.0,141,160,5.0,6.8085
2009,GR Napier,6.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,24,28,1.0,7.0
2009,Harbhajan Singh,42.0,52.0,1.0,7.4286,30.0,35.0,4.0,7.0,264,272,11.0,6.1818
2009,Harmeet Singh,24.0,38.0,1.0,9.5,23.0,47.0,1.0,12.2609,137,198,3.0,8.6715
2009,I Sharma,156.0,169.0,3.0,6.5,56.0,90.0,4.0,9.6429,260,303,11.0,6.9923
2009,IK Pathan,162.0,199.0,6.0,7.3704,134.0,195.0,11.0,8.7313,302,398,17.0,7.9073
2009,J Botha,0.0,0.0,0.0,0.0,24.0,36.0,1.0,9.0,72,76,3.0,6.3333
2009,JA Morkel,171.0,219.0,11.0,7.6842,44.0,72.0,1.0,9.8182,245,330,13.0,8.0816
2009,JD Ryder,6.0,7.0,0.0,7.0,12.0,26.0,0.0,13.0,102,121,3.0,7.1176
2009,JDP Oram,12.0,19.0,0.0,9.5,40.0,58.0,4.0,8.7,94,139,5.0,8.8723
2009,JH Kallis,174.0,205.0,4.0,7.069,26.0,67.0,1.0,15.4615,278,362,6.0,7.8129
2009,JP Duminy,6.0,3.0,0.0,3.0,15.0,20.0,0.0,8.0,105,96,4.0,5.4857
