batter,bowler,balls_faced,runs_scored,boundaries,dismissals,strike_rate,boundary_rate,dismissal_prob
RD Gaikwad,Sandeep Sharma,51,50,6,1,98.0,11.8,1.96
RD Gaikwad,T Natarajan,29,39,4,3,134.5,13.8,10.34
RD Gaikwad,TA Boult,26,34,6,2,130.8,23.1,7.69
RD Gaikwad,Umran Malik,22,40,6,0,181.8,27.3,0.0
RD Gaikwad,VG Arora,21,28,4,0,133.3,19.0,0.0
RD Gaikwad,YS Chahal,36,40,5,3,111.1,13.9,8.33
RD Gaikwad,Yash Dayal,32,52,8,2,162.5,25.0,6.25
RD Gaikwad,Yash Thakur,20,38,6,1,190.0,30.0,5.0
RD Rickelton,Mukesh Kumar,23,29,5,1,126.1,21.7,4.35
RG Sharma,AR Patel,33,34,4,2,103.0,12.1,6.06
RG Sharma,Arshdeep Singh,25,30,4,0,120.0,16.0,0.0
RG Sharma,B Kumar,37,54,8,0,145.9,21.6,0.0
RG Sharma,CV Varun,50,61,9,1,122.0,18.0,2.0
RG Sharma,DL Chahar,20,25,4,1,125.0,20.0,5.0
RG Sharma,HV Patel,23,28,4,1,121.7,17.4,4.35
RG Sharma,JD Unadkat,21,40,6,0,190.5,28.6,0.0
RG Sharma,KH Pandya,32,35,4,1,109.4,12.5,3.12
RG Sharma,KK Ahmed,42,30,5,2,71.4,11.9,4.76
RG Sharma,Mohammed Shami,39,46,5,2,117.9,12.8,5.13
RG Sharma,Mohammed Siraj,54,70,12,1,129.6,22.2,1.85
RG Sharma,Mohsin Khan,20,33,7,1,165.0,35.0,5.0
RG Sharma,Mustafizur Rahman,30,51,8,2,170.0,26.7,6.67
RG Sharma,PJ Cummins,26,35,5,4,134.6,19.2,15.38
RG Sharma,R Ashwin,20,25,3,1,125.0,15.0,5.0
RG Sharma,Rashid Khan,30,38,5,3,126.7,16.7,10.0
RG Sharma,Ravi Bishnoi,27,32,5,3,118.5,18.5,11.11
RG Sharma,SN Thakur,29,36,5,1,124.1,17.2,3.45
RG Sharma,TU Deshpande,22,27,4,1,122.7,18.2,4.55
RG Sharma,UT Yadav,24,27,5,1,112.5,20.8,4.17
RG Sharma,VG Arora,25,41,6,1,164.0,24.0,4.0
RK Singh,HV Patel,26,47,8,2,180.8,30.8,7.69
RK Singh,M Pathirana,24,28,4,0,116.7,16.7,0.0
RK Singh,Mohammed Shami,22,32,4,0,145.5,18.2,0.0
RK Singh,Noor Ahmad,25,15,2,3,60.0,8.0,12.0
RK Singh,RA Jadeja,27,43,5,0,159.3,18.5,0.0
RK Singh,Ravi Bishnoi,23,41,5,1,178.3,21.7,4.35
RK Singh,T Natarajan,24,39,5,3,162.5,20.8,12.5
RM Patidar,Avesh Khan,21,37,6,1,176.2,28.6,4.76
RM Patidar,Noor Ahmad,23,28,3,0,121.7,13.0,0.0
RM Patidar,R Ashwin,26,25,1,2,96.2,3.8,7.69
RM Patidar,Ravi Bishnoi,30,63,9,0,210.0,30.0,0.0
RM Patidar,YS Chahal,32,51,6,2,159.4,18.8,6.25
RR Pant,B Kumar,27,51,9,1,188.9,33.3,3.7
RR Pant,CV Varun,34,36,3,2,105.9,8.8,5.88
RR Pant,HV Patel,28,38,5,2,135.7,17.9,7.14
RR Pant,JD Unadkat,21,37,7,0,176.2,33.3,0.0
RR Pant,M Pathirana,22,41,6,2,186.4,27.3,9.09
RR Pant,Mohammed Siraj,23,35,5,2,152.2,21.7,8.7
RR Pant,Noor Ahmad,30,27,3,0,90.0,10.0,0.0
RR Pant,PJ Cummins,21,23,4,1,109.5,19.0,4.76
RR Pant,R Ashwin,23,25,2,0,108.7,8.7,0.0
RR Pant,RA Jadeja,26,34,4,1,130.8,15.4,3.85
RR Pant,Rashid Khan,36,51,7,0,141.7,19.4,0.0
RR Pant,Ravi Bishnoi,34,41,6,1,120.6,17.6,2.94
RR Pant,SP Narine,41,44,4,1,107.3,9.8,2.44
RR Pant,YS Chahal,36,61,7,2,169.4,19.4,5.56
S Dhawan,AS Joseph,20,30,4,0,150.0,20.0,0.0
S Dhawan,B Kumar,51,57,11,2,111.8,21.6,3.92
S Dhawan,CV Varun,44,49,6,2,111.4,13.6,4.55
S Dhawan,DJ Bravo,28,52,9,1,185.7,32.1,3.57
S Dhawan,DL Chahar,23,40,7,0,173.9,30.4,0.0
S Dhawan,J Suchith,23,32,5,0,139.1,21.7,0.0
S Dhawan,KK Ahmed,22,22,3,0,100.0,13.6,0.0
S Dhawan,LH Ferguson,33,31,4,1,93.9,12.1,3.03
S Dhawan,Mohammed Shami,30,47,9,0,156.7,30.0,0.0
S Dhawan,RA Jadeja,23,25,1,0,108.7,4.3,0.0
S Dhawan,Rashid Khan,33,31,2,3,93.9,6.1,9.09
S Dhawan,Ravi Bishnoi,24,33,4,1,137.5,16.7,4.17
S Dhawan,SN Thakur,25,35,6,3,140.0,24.0,12.0
S Dhawan,SP Narine,36,43,5,0,119.4,13.9,0.0
S Dhawan,T Natarajan,21,38,6,0,181.0,28.6,0.0
S Dhawan,TA Boult,32,29,5,0,90.6,15.6,0.0
S Dhawan,TG Southee,20,26,5,1,130.0,25.0,5.0
S Dhawan,YS Chahal,21,40,6,0,190.5,28.6,0.0
S Dube,AS Joseph,28,32,3,1,114.3,10.7,3.57
S Dube,Arshdeep Singh,28,44,8,3,157.1,28.6,10.71
S Dube,CV Varun,44,64,7,1,145.5,15.9,2.27
S Dube,GJ Maxwell,20,21,2,0,105.0,10.0,0.0
S Dube,JJ Bumrah,28,16,1,2,57.1,3.6,7.14
S Dube,LH Ferguson,25,26,3,1,104.0,12.0,4.0
S Dube,MM Sharma,23,30,3,1,130.4,13.0,4.35
S Dube,PWH de Silva,27,59,9,1,218.5,33.3,3.7
S Dube,SN Thakur,38,62,10,0,163.2,26.3,0.0
S Dube,SP Narine,49,44,3,0,89.8,6.1,0.0
S Dube,Suyash Sharma,24,38,5,0,158.3,20.8,0.0
S Dube,VG Arora,24,38,6,2,158.3,25.0,8.33
SA Yadav,AR Patel,26,25,2,1,96.2,7.7,3.85
SA Yadav,Akash Deep,20,48,7,0,240.0,35.0,0.0
SA Yadav,Arshdeep Singh,35,42,5,3,120.0,14.3,8.57
SA Yadav,Avesh Khan,24,29,5,3,120.8,20.8,12.5
SA Yadav,CV Varun,42,43,4,0,102.4,9.5,0.0
SA Yadav,HV Patel,35,45,6,0,128.6,17.1,0.0
SA Yadav,Harpreet Brar,26,33,2,0,126.9,7.7,0.0
SA Yadav,JO Holder,22,41,6,1,186.4,27.3,4.55
SA Yadav,K Rabada,40,74,11,2,185.0,27.5,5.0
SA Yadav,KA Jamieson,24,42,8,1,175.0,33.3,4.17
SA Yadav,KH Pandya,26,34,4,2,130.8,15.4,7.69
SA Yadav,Kuldeep Yadav,23,29,3,1,126.1,13.0,4.35
SA Yadav,Mohammed Siraj,22,51,7,1,231.8,31.8,4.55
SA Yadav,Noor Ahmad,49,65,8,2,132.7,16.3,4.08
SA Yadav,PJ Cummins,37,44,7,2,118.9,18.9,5.41
SA Yadav,R Ashwin,36,58,7,0,161.1,19.4,0.0
SA Yadav,R Sai Kishore,27,45,5,2,166.7,18.5,7.41
SA Yadav,RA Jadeja,25,34,4,2,136.0,16.0,8.0
SA Yadav,RD Chahar,27,37,6,0,137.0,22.2,0.0
SA Yadav,Rashid Khan,58,92,14,0,158.6,24.1,0.0
SA Yadav,Ravi Bishnoi,52,85,12,3,163.5,23.1,5.77
SA Yadav,SM Curran,23,54,9,1,234.8,39.1,4.35
SA Yadav,SP Narine,45,57,7,0,126.7,15.6,0.0
SA Yadav,Suyash Sharma,22,33,6,0,150.0,27.3,0.0
SA Yadav,V Nigam,24,35,5,0,145.8,20.8,0.0
SA Yadav,Vijaykumar Vyshak,28,43,6,2,153.6,21.4,7.14
SA Yadav,YS Chahal,42,58,8,2,138.1,19.0,4.76
SM Curran,YS Chahal,28,60,9,0,214.3,32.1,0.0
SO Hetmyer,Arshdeep Singh,30,47,6,1,156.7,20.0,3.33
SO Hetmyer,HV Patel,39,55,6,1,141.0,15.4,2.56
SO Hetmyer,MM Ali,24,27,1,0,112.5,4.2,0.0
SO Hetmyer,Mohammed Siraj,29,47,7,2,162.1,24.1,6.9
SO Hetmyer,Rashid Khan,38,50,6,1,131.6,15.8,2.63
SP Narine,KK Ahmed,24,38,6,1,158.3,25.0,4.17
SP Narine,Mohammed Siraj,26,31,5,2,119.2,19.2,7.69
SP Narine,PJ Cummins,21,47,9,2,223.8,42.9,9.52
SP Narine,R Ashwin,36,73,13,1,202.8,36.1,2.78
SP Narine,Ravi Bishnoi,21,37,6,1,176.2,28.6,4.76
SP Narine,Yash Dayal,23,34,6,1,147.8,26.1,4.35
SS Iyer,AR Patel,44,58,8,0,131.8,18.2,0.0
SS Iyer,JJ Bumrah,32,45,7,0,140.6,21.9,0.0
SS Iyer,JR Hazlewood,21,10,1,4,47.6,4.8,19.05
SS Iyer,Kuldeep Yadav,45,84,10,3,186.7,22.2,6.67
SS Iyer,M Prasidh Krishna,23,51,8,1,221.7,34.8,4.35
SS Iyer,Mohsin Khan,22,6,0,1,27.3,0.0,4.55
SS Iyer,R Ashwin,24,36,4,0,150.0,16.7,0.0
SS Iyer,RA Jadeja,34,37,3,0,108.8,8.8,0.0
SS Iyer,Rashid Khan,25,36,3,0,144.0,12.0,0.0
SS Iyer,SN Thakur,31,54,7,1,174.2,22.6,3.23
SS Iyer,TA Boult,30,45,6,1,150.0,20.0,3.33
SS Iyer,YS Chahal,22,25,2,2,113.6,9.1,9.09
SV Samson,AR Patel,26,40,6,0,153.8,23.1,0.0
SV Samson,Arshdeep Singh,41,69,11,1,168.3,26.8,2.44
SV Samson,Avesh Khan,24,28,3,0,116.7,12.5,0.0
SV Samson,B Kumar,31,30,4,2,96.8,12.9,6.45
SV Samson,CV Varun,30,47,6,0,156.7,20.0,0.0
SV Samson,HH Pandya,24,49,9,1,204.2,37.5,4.17
SV Samson,HV Patel,21,25,3,2,119.0,14.3,9.52
SV Samson,JJ Bumrah,31,38,6,0,122.6,19.4,0.0
SV Samson,JO Holder,20,21,2,2,105.0,10.0,10.0
SV Samson,K Rabada,27,36,7,3,133.3,25.9,11.11
SV Samson,KH Pandya,28,33,3,1,117.9,10.7,3.57
SV Samson,KK Ahmed,47,74,12,1,157.4,25.5,2.13
SV Samson,MM Sharma,21,23,3,0,109.5,14.3,0.0
SV Samson,Mohammed Shami,32,59,12,0,184.4,37.5,0.0
SV Samson,Mohammed Siraj,30,22,3,1,73.3,10.0,3.33
SV Samson,Mohsin Khan,22,45,7,0,204.5,31.8,0.0
SV Samson,Mukesh Kumar,35,63,11,1,180.0,31.4,2.86
SV Samson,PWH de Silva,32,38,6,3,118.8,18.8,9.38
SV Samson,RA Jadeja,28,22,1,1,78.6,3.6,3.57
SV Samson,Rashid Khan,55,77,7,0,140.0,12.7,0.0
SV Samson,Ravi Bishnoi,25,49,8,0,196.0,32.0,0.0
SV Samson,SP Narine,44,31,2,0,70.5,4.5,0.0
