season,player,combined_z,bat_z,bowl_z
2008,MF Maharoof,1.8498660233618458,0.9214055526587307,0.9284604707031152
2009,Harbhajan Singh,3.4865427030127316,2.1459898514645808,1.3405528515481506
2010,KA Pollard,2.7366744479699356,1.9961662082051312,0.7405082397648042
2011,CH Gayle,3.6417702457476198,2.9061082016267927,0.7356620441208268
2012,DR Smith,2.442715338949217,1.9796945003301494,0.46302083861906757
2013,Harbhajan Singh,2.0242214702014354,0.9442942564722451,1.0799272137291902
2014,Shakib Al Hasan,1.9421169418103614,0.737258205248281,1.2048587365620804
2015,AD Russell,2.9990710342665654,2.5106351251641303,0.48843590910243495
2016,CH Gayle,2.9901892395241374,0.6398908343117344,2.3502984052124027
2017,GJ Maxwell,2.9129528570625105,1.5044735562643645,1.4084793007981458
2018,K Gowtham,2.5486349224225044,1.898305134893405,0.6503297875290994
2019,MM Ali,1.6424683273827625,0.5883400766820808,1.0541282507006817
2020,JC Archer,2.9126129973860335,1.7890163321559518,1.1235966652300815
2021,KA Pollard,1.7921230878894083,1.1427962412504877,0.6493268466389207
2022,GJ Maxwell,2.652274113678991,1.392000959116694,1.260273154562297
2023,Rashid Khan,3.3539830359663543,2.7732052495646635,0.5807777864016909
2024,SP Narine,3.477601404823111,1.9000077709286243,1.577593633894487
2025,SP Narine,2.114362876295007,0.7627510598380457,1.3516118164569615
2026,Shashank Singh,2.3168003928682896,1.804099643060918,0.5127007498073719
